medium,title,sentiment
https://telex.hu/rss,Miskolci polgármester: A Barlangfürdőt nyitva kívánjuk tartani 2023-ban is,positive
https://telex.hu/rss,Lionel Messi mindent megnyert,positive
https://telex.hu/rss,"Lionel Messi: Nem vonulok vissza, szeretnék világbajnokként is játszani a válogatottban",positive
https://telex.hu/rss,A vb legnagyobb rejtélye: mit csinált Beckham a katariak 150 millió dollárjáért?,neutral
https://telex.hu/rss,Belgium Irán elhagyására szólította fel állampolgárait,negative
https://444.hu/feed,Mit adtak Messire a vb-trófea átvétele előtt?,neutral
https://444.hu/feed,Borízű Hang #101: Pilz Olivér mégsem dobálhat Molotov-koktélt,neutral
https://444.hu/feed,Késleltetik a mentális betegek eutanáziáját biztosító törvény bevezetését Kanadában,neutral
https://444.hu/feed,Katonai álcahálókból készült a karácsonyfa Mikolajivban,neutral
https://444.hu/feed,A KRÉTA rendszerét feltörő hekkerek szerint nincs is 13 éves tagjuk,neutral
https://www.origo.hu/contentpartner/rss/origoall/origo.xml,"Argentina sírva ünnepel, Messi hősként vonul vissza",positive
https://www.origo.hu/contentpartner/rss/origoall/origo.xml,"Szivaroztak az argentinok, a szívbetegség miatt visszavonult legenda a csapattal ünnepelt - képek",neutral
https://www.origo.hu/contentpartner/rss/origoall/origo.xml,Így ünnepelték Buenos Airesben az argentin fociválogatott vb-győzelmét - videó,neutral
https://www.origo.hu/contentpartner/rss/origoall/origo.xml,"Megalázta Mbappé a francia elnököt, levegőnek nézte Macront",negative
https://www.origo.hu/contentpartner/rss/origoall/origo.xml,"Megint felgyújtották a francia városokat, a meccs megint csak ürügy volt - videók",negative
https://index.hu/24ora/rss/,Több mint 128 millió forint érkezett be a közmédia kampányára,positive
https://index.hu/24ora/rss/,"Az argentin futballisták nem tudják felfogni, hogy világbajnokságot nyertek",positive
https://index.hu/24ora/rss/,Több környezetvédelmi kérdésről is megállapodtak,positive
https://index.hu/24ora/rss/,Adele sunnyogva próbált meglépni barátja szülinapjáról,neutral
https://index.hu/24ora/rss/,Egy ország boldogsága a végzetes könnyekkel szemben,neutral
http://feeds.bbci.co.uk/news/rss.xml,World Cup final: Lionel Messi restores Argentina's lead in extra time,positive
http://feeds.bbci.co.uk/news/rss.xml,What it's like to play in a World Cup final,neutral
http://feeds.bbci.co.uk/news/rss.xml,Your pictures on the theme of 'bright lights',neutral
http://feeds.bbci.co.uk/news/rss.xml,World Cup final: Was 'phenomenal' final the best ever? BBC pundits debate,neutral
http://feeds.bbci.co.uk/news/rss.xml,"World Cup 2022: Elation in Argentina, sorrow in France - fans react",neutral
http://blikk.hu/static/rss_hirek.xml,"Megteszi, amire régóta vágyott: Shane Tusup elhagyta az országot",neutral
http://blikk.hu/static/rss_hirek.xml,Orbán Viktor így reagált Argentína vb-győzelmére: vajon kinek szurkolt a miniszterelnök?,neutral
http://blikk.hu/static/rss_hirek.xml,"Miller Dávid bevallotta, hogy percekig szokott sírni: „Sokan gondolják, hogy a magasságommal bánthatnak” – videó ",neutral
http://blikk.hu/static/rss_hirek.xml,Rá sem ismerni az E.T gyereksztárjára: így néz ki most az 51 éves Henry Thomas – fotók,neutral
http://blikk.hu/static/rss_hirek.xml,Nem várt szereplő csatlakozott be Harry herceg és Meghan Markle botrányába: durván kiosztotta a hercegi párt,negative
https://www.theguardian.com/world/rss,France and Morocco resolve visa tensions after World Cup clash,positive
https://www.theguardian.com/world/rss,Penny Wong to travel to China this week for 50th anniversary of diplomatic relations,neutral
https://www.theguardian.com/world/rss,Tunisians go to polls in election set to cement rule of strongman president,neutral
https://www.theguardian.com/world/rss,Messi business: how ‘sportswashing’ could land Saudi Arabia the 2030 World Cup,neutral
https://www.theguardian.com/world/rss,Call for wealth tax as UK billionaire numbers up by 20% since pandemic,negative
